Rowid,STATENAME,ID,DISTRICT,STARTCONG,ENDCONG,CONGRESS,STATE,YEAR,MONTH,PARTY_OF_1,VICTOR,VICTOR_VOT,MARGIN,MARGIN_PER,TOTAL_VOTE,MARGINPERC
37,Illinois,17038042013,13,38,42,38,IL,862,11,100,"ALLEN, WILLIAM J",9497,5207,0.377318841,13800,0
38,Illinois,17038042004,4,38,42,38,IL,862,11,100,"HARRIS, CHARLES M",11626,2915,0.143334808,20337,0
39,Illinois,17038042005,5,38,42,38,IL,862,11,200,"LOVEJOY, OWEN",11683,-663,-0.028425656,23324,0
40,Illinois,17038042006,6,38,42,38,IL,862,11,200,"NORTON, JESSE O",10604,-2185,-0.114848883,19025,0
41,Indiana,18033040010,10,33,40,38,IN,862,99,100,"EDGERTON, JOSEPH K",12353,436,0.017964565,24270,0
42,Indiana,18033040011,11,33,40,38,IN,862,99,100,"MCDOWELL, JAMES F",13142,923,0.036394464,25361,0
43,Oregon,41035052000,0,35,52,38,OR,862,6,605,"MCBRIDE, JOHN R",6809,-3177,-0.304281199,10441,0
44,Maine,23038047001,1,38,47,38,ME,862,99,100,"SWEAT, LORENZO D M",10452,247,0.011563129,21361,0
45,Maine,23038047002,2,38,47,38,ME,862,99,200,"PERHAM, SIDNEY",9976,-2457,-0.139649881,17594,0
46,Maine,23038047003,3,38,47,38,ME,862,99,200,"BLAINE, JAMES G",9971,-2818,-0.155167667,18161,0
47,Maine,23038047004,4,38,47,38,ME,862,99,200,"RICE, JOHN H",8107,-4301,-0.320587358,13416,0
48,Maine,23038047005,5,38,47,38,ME,862,99,200,"PIKE, FREDERICK A",8998,-1690,-0.102003863,16568,0
49,Indiana,18033040002,2,33,40,38,IN,862,99,100,"CRAVENS, JAMES A",10911,4960,0.294152532,16862,0
50,Indiana,18033040003,3,33,40,38,IN,862,99,100,"HARRINGTON, HENRY W",11524,1480,0.068620178,21568,0
51,Indiana,18033040004,4,33,40,38,IN,862,99,100,"HOLMAN, WILLIAM S",10926,2934,0.15509039,18918,0
52,Indiana,18033040005,5,33,40,38,IN,862,99,605,"JULIAN, GEORGE W",9272,-1858,-0.111350833,16686,0
53,Indiana,18033040006,6,33,40,38,IN,862,99,605,"DUMONT, EBENEZER",12525,-1571,-0.066910857,23479,0
54,West Virginia,54038047001,1,38,47,38,WV,863,99,605,"BLAIR, JACOB B",8066,-7461,-0.860454388,8671,0
55,West Virginia,54038047002,2,38,47,38,WV,863,99,605,"BROWN, WILLIAM G",3576,-1772,-0.286731392,6180,0
56,Wisconsin,55038042001,1,38,42,38,WI,862,99,100,"BROWN, JAMES S.",14291,2185,0.082774558,26397,0
57,Wisconsin,55038042002,2,38,42,38,WI,862,99,200,"SLOAN, ITHAMAR",13105,-2131,-0.088500353,24079,0
58,Wisconsin,55038042003,3,38,42,38,WI,862,99,200,"COBB, AMASA",11365,-2181,-0.106136552,20549,0
59,Wisconsin,55038042004,4,38,42,38,WI,862,99,100,"ELDRIDGE, CHARLES",15343,5730,0.229604103,24956,0
60,Wisconsin,55038042005,5,38,42,38,WI,862,99,100,"WHEELER, EZRA",11021,1016,0.048321126,21026,0
61,Wisconsin,55038042006,6,38,42,38,WI,862,99,200,"MCINDOE, WALTER D.",12962,-6188,-0.212755716,29085,0
62,Indiana,18033040007,7,33,40,38,IN,862,99,100,"VOORHEES, DANIEL W",12457,2481,0.110595997,22433,0
63,Indiana,18033040008,8,33,40,38,IN,862,99,605,"ORTH, GODLOVE S",12032,-851,-0.036660492,23213,0
64,Indiana,18033040009,9,33,40,38,IN,862,99,605,"COLFAX, SCHUYLER",14768,-222,-0.007573173,29314,0
65,Iowa,19038042001,1,38,42,38,IA,862,10,200,"WILSON, JAMES F",12705,-2219,-0.09568367,23191,0
66,Iowa,19038042002,2,38,42,38,IA,862,10,200,"PRICE, HIRAM",12433,-3503,-0.163975097,21363,0
67,Iowa,19038042003,3,38,42,38,IA,862,10,200,"ALLISON, WILLIAM B",12112,-3660,-0.177782095,20587,0
68,Iowa,19038042004,4,38,42,38,IA,862,10,200,"GRINNELL, JOSIAH B",12900,-1371,-0.056121822,24429,0
69,Iowa,19038042005,5,38,42,38,IA,862,10,200,"KASSON, JOHN A",10306,-2960,-0.167686381,17652,0
70,Iowa,19038042006,6,38,42,38,IA,862,10,200,"HUBBARD, ASAHEL W",5386,-2631,-0.323178971,8141,0
71,Kansas,20036042000,0,36,42,38,KS,862,11,200,"WILDER, A CARTER",9671,-8741,-0.572279691,15274,0
72,Kentucky,21038042001,1,38,42,38,KY,863,8,553,"ANDERSON, LUCIEN",4323,-3612,-0.688787185,5244,0
73,Kentucky,21038042002,2,38,42,38,KY,863,8,553,"YEAMAN, GEORGE H",8311,-5224,-0.458326022,11398,0
74,Kentucky,21038042003,3,38,42,38,KY,863,8,553,"GRIDER, HENRY",8654,-7361,-0.740022117,9947,0
75,Kentucky,21038042004,4,38,42,38,KY,863,8,553,"HARDING, AARON",10435,-7927,-0.612454609,12943,0
76,Kentucky,21038042005,5,38,42,38,KY,863,8,553,"MALLORY, ROBERT",6257,-3780,-0.43279139,8734,0
77,Kentucky,21038042006,6,38,42,38,KY,863,8,553,"SMITH, GREEN CLAY",6936,-4653,-0.415446429,11200,0
78,Kentucky,21038042007,7,38,42,38,KY,863,8,553,"CLAY, BRUTUS J",4711,-2224,-0.23809014,9341,0
79,Kentucky,21038042008,8,38,42,38,KY,863,8,553,"RANDALL, WILLIAM H",8321,-8084,-0.944613227,8558,0
80,New Jersey,34038042001,1,38,42,38,NJ,862,99,553,"STARR, JOHN F.",9491,-530,-0.028723174,18452,0
81,New Jersey,34038042002,2,38,42,38,NJ,862,99,100,"MIDDLETON, GEORGE",12182,1348,0.058567953,23016,0
82,New Jersey,34038042003,3,38,42,38,NJ,862,99,100,"STEELE, WILLIAM G.",15708,6615,0.266723116,24801,0
83,New Jersey,34038042004,4,38,42,38,NJ,862,99,100,"ROGERS, ANDREW J.",12791,2767,0.12127986,22815,0
84,New Jersey,34038042005,5,38,42,38,NJ,862,99,100,"PERRY, NEHEMIAH",10779,3157,0.171566763,18401,0
85,Kentucky,21038042009,9,38,42,38,KY,863,8,553,"WADSWORTH, WILLIAM H",6889,-6040,-0.780563453,7738,0
86,Rhode Island,44028042001,1,28,42,38,RI,863,99,200,"JENCKES, THOMAS A",6532,-1916,-0.17078171,11219,0
87,Rhode Island,44028042002,2,28,42,38,RI,863,99,200,"DIXON, NATHAN F",4077,-956,-0.132226833,7230,0
88,Michigan,26038041002,2,38,41,38,MI,862,99,200,"UPSON, CHARLES",14148,-2761,-0.108100701,25541,0
89,Michigan,26038041003,3,38,41,38,MI,862,99,200,"LONGYEAR, JOHN W",12317,-829,-0.034820228,23808,0
90,Michigan,26038041004,4,38,41,38,MI,862,99,200,"KELLOGG, FRANCIS W",10013,-2705,-0.156141769,17324,0
91,Michigan,26038041005,5,38,41,38,MI,862,99,100,"BALDWIN, AUGUSTUS C",10697,262,0.012395326,21137,0
92,Michigan,26038041006,6,38,41,38,MI,862,99,200,"DRIGGS, JOHN F",8188,-1141,-0.074873679,15239,0
93,Minnesota,27038042001,1,38,42,38,MN,862,99,200,"WINDOM, WILLIAM",8663,-2240,-0.148482036,15086,0
94,Minnesota,27038042002,2,38,42,38,MN,862,99,200,"DONNELLY, IGNATIUS",7091,-2072,-0.171098266,12110,0
95,Nevada,32038041000,0,38,41,38,NV,0,0,0, ,0,0,0,0,0
96,New Hampshire,33033047001,1,33,47,38,NH,863,99,100,"MARCY, DANIEL",12059,80,0.003328064,24038,0
97,New Hampshire,33033047002,2,33,47,38,NH,863,99,200,"ROLLINS, EDWARD H",10365,-366,-0.017972893,20364,0
98,New Hampshire,33033047003,3,33,47,38,NH,863,99,200,"PATTERSON, JAMES W",10847,-276,-0.012886357,21418,0
99,Maryland,24038042003,3,38,42,38,MD,863,99,605,"DAVIS, HENRY WINTER",6200,-6200,-0.996784566,6220,0
100,Massachusetts,25038039010,10,38,39,38,MA,862,11,200,"DAWES, HENRY L",7449,-7449,-0.562868369,13234,0
101,Massachusetts,25038039001,1,38,39,38,MA,862,11,200,"ELIOT, THOMAS D",8399,-8399,-0.74176455,11323,0
102,Massachusetts,25038039002,2,38,39,38,MA,862,11,200,"AMES, OAKES",9271,-9271,-0.610697583,15181,0
103,Massachusetts,25038039003,3,38,39,38,MA,862,11,200,"RICE, ALEXANDER H",5044,-5044,-0.50049613,10078,0
104,Massachusetts,25038039004,4,38,39,38,MA,862,11,200,"HOOPER, SAMUEL",5828,-5828,-0.521008403,11186,0
105,Massachusetts,25038039009,9,38,39,38,MA,862,11,200,"WASHBURNE, WILLIAM B",14311,-14311,-0.992303425,14422,0
106,Ohio,39038042010,10,38,42,38,OH,862,99,605,"ASHLEY, JAMES M.",6908,-6908,-0.385469561,17921,0
107,Ohio,39038042011,11,38,42,38,OH,862,99,100,"HUTCHINS, WELLS A.",8605,1903,0.124322206,15307,0
108,Ohio,39038042012,12,38,42,38,OH,862,99,100,"FINCK, WILLIAM E.",13631,5544,0.255272125,21718,0
109,Ohio,39038042013,13,38,42,38,OH,862,99,100,"ONEILL, JOHN O'NEILL",12763,3064,0.136408156,22462,0
110,Ohio,39038042014,14,38,42,38,OH,862,99,100,"BLISS, GEORGE",10490,36,0.001718869,20944,0
111,Ohio,39038042015,15,38,42,38,OH,862,99,100,"MORRIS, JAMES R.",10332,1149,0.058877786,19515,0
112,Ohio,39038042016,16,38,42,38,OH,862,99,100,"WHITE, JOSEPH W.",12299,2300,0.103148264,22298,0
113,Ohio,39038042017,17,38,42,38,OH,862,99,605,"ECKLEY, EPHRAIM",10018,-933,-0.048840496,19103,0
114,Ohio,39038042018,18,38,42,38,OH,862,99,605,"SPALDING, RUFUS P.",9293,-5110,-0.378546559,13499,0
115,Ohio,39038042019,19,38,42,38,OH,862,99,605,"GARFIELD, JAMES A.",13288,-6525,-0.325420179,20051,0
116,Ohio,39038042001,1,38,42,38,OH,862,99,100,"PENDLETON, GEORGE",7545,1127,0.080713314,13963,0
117,New York,36038042017,17,38,42,38,NY,862,99,553,"HULBURD, CALVIN T",12015,-6148,-0.343809417,17882,0
118,New York,36038042018,18,38,42,38,NY,862,99,553,"MARVIN, JAMES M",13096,-514,-0.020017135,25678,0
119,New York,36038042019,19,38,42,38,NY,862,99,553,"MILLER, SAMUEL F",14918,-1395,-0.049048908,28441,0
120,New York,36038042001,1,38,42,38,NY,862,99,100,"STEBBINS, HENRY G",9908,2149,0.121639214,17667,0
121,New York,36038042020,20,38,42,38,NY,862,99,553,"CLARK, AMBROSE W",14826,-3795,-0.146768767,25857,0
122,New York,36038042021,21,38,42,38,NY,862,99,100,"KERNAN, FRANCIS",9943,98,0.004952496,19788,0
123,New York,36038042022,22,38,42,38,NY,862,99,553,"LITTLEJOHN, DEWITT C",12667,-4214,-0.199526515,21120,0
124,New York,36038042023,23,38,42,38,NY,862,99,553,"DAVIS, THOMAS T",13032,-3775,-0.169366055,22289,0
125,New York,36038042010,10,38,42,38,NY,862,99,100,"RADFORD, WILLIAM",8878,957,0.049393548,19375,0
126,New York,36038042011,11,38,42,38,NY,862,99,100,"WINFIELD, CHARLES H",9326,1754,0.103799266,16898,0
127,New York,36038042012,12,38,42,38,NY,862,99,100,"NELSON, HOMER A",10712,1200,0.059335443,20224,0
128,New York,36038042013,13,38,42,38,NY,862,99,100,"STEELE, JOHN B",10263,1841,0.098528231,18685,0
129,New York,36038042014,14,38,42,38,NY,862,99,100,"CORNING, ERASTUS",15715,5050,0.191432904,26380,0
130,New York,36038042016,16,38,42,38,NY,862,99,553,"KELLOGG, ORLANDO",7654,-667,-0.045556997,14641,0
131,New York,36038042009,9,38,42,38,NY,862,99,100,"HERRICK, ANSON",7323,3238,0.283835905,11408,0
132,Pennsylvania,42038042010,10,38,42,38,PA,862,99,100,"STROUSE, MYER",9239,721,0.040603706,17757,0
133,Pennsylvania,42038042011,11,38,42,38,PA,862,99,100,"JOHNSON, PHILIP",11676,9084,0.63666947,14268,0
134,Pennsylvania,42038042012,12,38,42,38,PA,862,99,100,"DENISON, CHARLES",11408,1767,0.083946981,21049,0
135,Pennsylvania,42038042013,13,38,42,38,PA,862,99,553,"TRACY, HENRY W",9520,-1817,-0.105498461,17223,0
136,Pennsylvania,42038042014,14,38,42,38,PA,862,99,100,"MILLER, WILLIAM H",10630,521,0.025121751,20739,0
137,Pennsylvania,42038042015,15,38,42,38,PA,862,99,553,"BAILY, JOSEPH",11965,-2219,-0.102206255,21711,0
138,Pennsylvania,42038042016,16,38,42,38,PA,862,99,100,"COFFROTH, ALEXANDER H",10963,537,0.025106363,21389,0
139,Pennsylvania,42038042017,17,38,42,38,PA,862,99,100,"MCALLISTER, ARCHIBALD",8328,772,0.048602367,15884,0
140,Pennsylvania,42038042018,18,38,42,38,PA,862,99,100,"HALE, JAMES T",9272,417,0.022221038,18766,0
141,Pennsylvania,42038042019,19,38,42,38,PA,862,99,553,"SCHOFIELD, GLENNI W",9954,-492,-0.025339926,19416,0
142,Missouri,29038042001,1,38,42,38,MO,862,99,200,"BLAIR, FRANCIS P JR",4743,-153,-0.012890724,11869,0
143,Missouri,29038042002,2,38,42,38,MO,862,99,1061,"BLOW, HENRY T",7164,-4180,-0.405785846,10301,0
144,Missouri,29038042003,3,38,42,38,MO,862,99,203,"NOELL, JOHN",-9,0,-1,-9,0
145,Missouri,29038042004,4,38,42,38,MO,862,99,1061,"BOYD, SAMUEL H",-9,0,-1,-9,0
146,Missouri,29038042005,5,38,42,38,MO,862,99,1061,"MCCLURG, JOSEPH W",4930,-597,-0.064449962,9263,0
147,Missouri,29038042006,6,38,42,38,MO,862,99,100,"KING, AUSTIN A",4243,4243,0.452828175,9370,0
148,Missouri,29038042007,7,38,42,38,MO,862,99,1061,"LOAN, BENJAMIN F",6580,-2026,-0.148981543,13599,0
149,Missouri,29038042008,8,38,42,38,MO,862,99,100,"HALL, WILLIAM A",6244,6244,0.530140941,11778,0
150,Missouri,29038042009,9,38,42,38,MO,862,99,923,"ROLLINS, JAMES S",7700,-4903,-0.467085834,10497,0
151,Illinois,17038042011,11,38,42,38,IL,862,11,100,"ROBINSON, JAMES C",13644,8123,0.423845552,19165,0
152,Illinois,17038042012,12,38,42,38,IL,862,11,100,"MORRISON, WILLIAM R",10999,4145,0.232173864,17853,0
153,Illinois,17038042002,2,38,42,38,IL,862,11,200,"FARNSWORTH, JOHN F",12612,-7827,-0.449698363,17405,0
154,Illinois,17038042003,3,38,42,38,IL,862,11,200,"WASHBURNE, ELISHU B",10496,-3711,-0.214732091,17282,0
155,Illinois,17038042007,7,38,42,38,IL,862,11,100,"EDEN, JOHN R",11361,1357,0.063515095,21365,0
156,Illinois,17038042008,8,38,42,38,IL,862,11,100,"STUART, JOHN T",12808,1365,0.056286339,24251,0
157,Illinois,17038042009,9,38,42,38,IL,862,11,100,"ROSS, LEWIS W",13391,13391,0.990605119,13518,0
158,Indiana,18033040001,1,33,40,38,IN,862,99,100,"LAW, JOHN",11963,1380,0.061208197,22546,0
159,Michigan,26038041001,1,38,41,38,MI,862,99,200,"BEAMAN, FERNANDO C",13400,-13397,-0.999105079,13409,0
160,Vermont,50033047001,1,33,47,38,VT,863,11,200,"WOODBRIDGE, FREDERICK E",8565,-5079,-0.420029772,12092,0
161,Vermont,50033047002,2,33,47,38,VT,863,11,200,"MORRILL, JUSTIN S",11358,-6573,-0.407022107,16149,0
162,Vermont,50033047003,3,33,47,38,VT,863,11,200,"BAXTER, PORTUS",7234,-4561,-0.447420051,10194,0
163,West Virginia,54038047003,3,38,47,38,WV,863,99,605,"WHALEY, KELLIAN V",2746,-562,-0.113995943,4930,0
164,Ohio,39038042002,2,38,42,38,OH,862,99,100,"LONG, ALEXANDER",7212,131,0.009165326,14293,0
165,Ohio,39038042003,3,38,42,38,OH,862,99,605,"SCHENCK, ROBERT C.",13027,-1257,-0.050691616,24797,0
166,Ohio,39038042004,4,38,42,38,OH,862,99,100,"MCKINNEY, JOHN",10218,783,0.039841246,19653,0
167,Ohio,39038042005,5,38,42,38,OH,862,99,100,"LEBLOND, FRANCIS C.",10561,4359,0.260036986,16763,0
168,Ohio,39038042006,6,38,42,38,OH,862,99,100,"WHITE, CHILTON A.",10087,767,0.039521822,19407,0
169,Pennsylvania,42038042001,1,38,42,38,PA,862,99,100,"RANDALL, SAMUEL J",7720,1447,0.103408847,13993,0
170,Pennsylvania,42038042020,20,38,42,38,PA,862,99,553,"MYERS, AMOS",12404,-818,-0.034097541,23990,0
171,Pennsylvania,42038042021,21,38,42,38,PA,862,99,100,"DAWSON, JOHN L",10234,225,0.011114953,20243,0
172,Pennsylvania,42038042022,22,38,42,38,PA,862,99,553,"MOORHEAD, JAMES K",8037,-2359,-0.172001458,13715,0
173,Pennsylvania,42038042023,23,38,42,38,PA,862,99,553,"WILLIAMS, THOMAS",8989,-1354,-0.081448508,16624,0
174,Pennsylvania,42038042024,24,38,42,38,PA,862,99,100,"LAZEAR, JESSE",9984,437,0.022374686,19531,0
175,Pennsylvania,42038042002,2,38,42,38,PA,862,99,553,"ONEILL, CHARLES",8614,-2546,-0.173409617,14682,0
176,Pennsylvania,42038042003,3,38,42,38,PA,862,99,553,"MYERS, LEONARD",8285,-42,-0.002541142,16528,0
177,Pennsylvania,42038042004,4,38,42,38,PA,862,99,553,"KELLEY, WILLIAM D",8946,-828,-0.048523207,17064,0
178,Pennsylvania,42038042005,5,38,42,38,PA,862,99,553,"THAYER, M RUSSELL",9605,-62,-0.003237936,19148,0
179,Pennsylvania,42038042006,6,38,42,38,PA,862,99,100,"STILES, JOHN D",11316,3224,0.166117065,19408,0
180,Pennsylvania,42038042007,7,38,42,38,PA,862,99,553,"BROOMALL, JOHN M",9891,-3446,-0.210945152,16336,0
181,Pennsylvania,42038042008,8,38,42,38,PA,862,99,100,"ANCONA, SYDENHAM E",10022,5124,0.343431635,14920,0
182,Pennsylvania,42038042009,9,38,42,38,PA,862,99,553,"STEVENS, THADDEUS",11174,-4524,-0.253815081,17824,0
183,New York,36038042024,24,38,42,39,NY,864,99,553,"POMEROY, THEODORE M",16027,-4195,-0.150579705,27859,0
184,New York,36038042025,25,38,42,39,NY,864,99,553,"MORRIS, DANIEL",12763,-3801,-0.174959724,21725,0
185,New York,36038042026,26,38,42,39,NY,864,99,553,"HOTCHKISS, GILES W",15543,-4737,-0.179779119,26349,0
186,New York,36038042027,27,38,42,39,NY,864,99,553,"WARD, HAMILTON",16945,-5769,-0.205149177,28121,0
187,New York,36038042028,28,38,42,39,NY,864,99,553,"HART, ROSWELL",13081,-1240,-0.049755236,24922,0
188,New York,36038042029,29,38,42,39,NY,864,99,553,"VANHORN, BURT",13996,-4463,-0.189680819,23529,0
189,New York,36038042002,2,38,42,39,NY,864,99,100,"BERGEN, TEUNIS G",13630,13630,0.606883655,22459,0
190,New York,36038042030,30,38,42,39,NY,864,99,100,"HUMPHREY, JAMES M",13231,13231,0.507090296,26092,0
191,New York,36038042031,31,38,42,39,NY,864,99,553,"VANAERNAM, HENRY",13996,-6622,-0.309873655,21370,0
192,New York,36038042003,3,38,42,39,NY,864,99,553,"HUMPHREY, JAMES",11752,-584,-0.02547993,22920,0
193,Maryland,24038042001,1,38,42,39,MD,864,99,100,"MCCULLOUGH, HIRAM",9677,3370,0.210835836,15984,0
194,Maryland,24038042002,2,38,42,39,MD,864,99,605,"WEBSTER, EDWIN H",9541,-5439,-0.398665983,13643,0
195,Maryland,24038042004,4,38,42,39,MD,864,99,605,"THOMAS, FRANCIS",11898,-4347,-0.223507635,19449,0
196,Maryland,24038042005,5,38,42,39,MD,864,99,100,"HARRIS, BENJAMIN G",8839,5450,0.445698397,12228,0
197,Massachusetts,25038039005,5,38,39,39,MA,864,11,206,"ALLEY, JOHN B",13086,-8928,-0.516816208,17275,0
198,Massachusetts,25038039006,6,38,39,39,MA,864,11,206,"GOOCH, DANIEL W",13082,-7908,-0.433101484,18259,0
199,Massachusetts,25038039007,7,38,39,39,MA,864,11,206,"BOUTWELL, GEORGE S",12087,-6654,-0.379772844,17521,0
200,Massachusetts,25038039008,8,38,39,39,MA,864,11,206,"BALDWIN, JOHN *",12955,-8578,-0.494922686,17332,0
201,New York,36038042015,15,38,42,39,NY,864,99,553,"GRISWOLD, JOHN A",15251,-2323,-0.082437276,28179,0
202,New York,36038042004,4,38,42,39,NY,864,99,115,"JONES, MORGAN",9605,9605,0.571692161,16801,0
203,New York,36038042005,5,38,42,39,NY,864,99,115,"TAYLOR, NELSON",9272,9272,0.53046513,17479,0
204,New York,36038042006,6,38,42,39,NY,864,99,553,"RAYMOND, HENRY J",7315,-386,-0.022392389,17238,0
205,New York,36038042007,7,38,42,39,NY,864,99,553,"CHANLER, JOHN WINTHROP",11513,-5875,0,0,0
206,Connecticut,9028057002,2,28,57,39,CT,865,99,605,"WARNER, SAMUEL L",11236,-1715,-0.082598854,20763,0
207,Connecticut,9028057003,3,28,57,39,CT,865,99,605,"BRANDAGEE, AUGUSTUS",8566,-4217,-0.326519551,12915,0
208,New York,36038042008,8,38,42,39,NY,864,99,100,"BROOKS, JAMES",8583,148,0,0,0
209,Connecticut,9028057004,4,28,57,39,CT,865,99,605,"HUBBARD, JOHN H",11747,-2635,-0.126324368,20859,0
210,Delaware,10018097000,0,18,97,39,DE,864,99,100,"NICHOLSON, JOHN A",8762,509,0.029914781,17015,0
211,California,6039039001,1,39,39,39,CA,864,11,605,"MCRUER, DONALD C",20370,-6179,-0.178785336,34561,0
212,California,6039039002,2,39,39,39,CA,864,11,605,"HIGBY, WILLIAM",23414,-8833,-0.232477958,37995,0
213,California,6039039003,3,39,39,39,CA,864,11,605,"BIDWELL, JOHN",18255,-3982,-0.122417609,32528,0
214,Ohio,39038042007,7,38,42,39,OH,864,99,605,"SHELLABARGER, SAMUEL",12756,-3169,-0.141834131,22343,0
215,Ohio,39038042008,8,38,42,39,OH,864,99,605,"HUBBELL, JAS R",10903,-1920,-0.096550337,19886,0
216,Ohio,39038042009,9,38,42,39,OH,864,99,605,"BUCKLAND, RALPH P",13511,-1794,-0.071111463,25228,0
217,Connecticut,9028057001,1,28,57,39,CT,865,99,605,"DEMING, HENRY C",10619,-2586,-0.136392405,18960,0
218,Illinois,17038042000,0,38,42,39,IL,864,11,605,"WENTWORTH, JOHN",18557,-4280,-0.130352683,32834,0
219,Illinois,17038042001,1,38,42,39,IL,864,11,605,"WENTWORTH, JOHN",18557,-4280,-0.130352683,32834,0
220,Illinois,17038042010,10,38,42,39,IL,864,11,605,"THORNTON, ANTHONY",16902,-4726,-0.162528372,29078,0
221,Illinois,17038042013,13,38,42,39,IL,864,11,605,"KUYKENDALL, ANDREW J",11762,-1003,-0.044423775,22578,0
222,Illinois,17038042004,4,38,42,39,IL,864,11,605,"HARDING, ABNER C",13569,-848,-0.03225561,26290,0
223,Illinois,17038042005,5,38,42,39,IL,864,11,605,"INGERSOLL, EBEN C",18152,-6865,-0.233194062,29439,0
224,Illinois,17038042006,6,38,42,39,IL,864,11,605,"COOK, BURTON C",15598,-5618,-0.219598952,25583,0
225,Indiana,18033040010,10,33,40,39,IN,864,99,605,"DEFREES, JOSEPH D",14617,-580,-0.020241502,28654,0
